Mozilla/5.0 (Android 10; Mobile; SM-N9300; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 8; Mobile; SM-J530Y; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 14; Mobile; GT-I8150; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 14; Mobile; RMX3686; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 6; Mobile; itel A16TZ; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 6; Mobile; SM-J110F; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 4; Mobile; SM-G570Y; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 5; Mobile; HUAWEI KII-L03; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 8; Mobile; ASUS_Z00UD; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 9; Mobile; GT-S7262; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 5; Mobile; ZTE V891; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 7; Mobile; Redmi S2; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 14; Mobile; SM-A920N; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 10; Mobile; ZTE V890; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 6; Mobile; ZTE-T U805; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 6; Mobile; meizu 16Xs; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 9; Mobile; GT-I5700; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 5; Mobile; SM-T377P; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 11; Mobile; SM-T905; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 14; Mobile; vivo Y71A; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 12; Mobile; SM-A135U; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 6; Mobile; TECNO AD10; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 14; Mobile; itel-it1553; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 13; Mobile; SM-A546B; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 6; Mobile; ASUS_P00I; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 15; Mobile; Redmi K20; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 7; Mobile; SM-X806B; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 9; Mobile; TECNO P704a; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 14; Mobile; ZTE Blade VEC; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 13; Mobile; ZTE Blade III; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 5; Mobile; ZTE U790; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 11; Mobile; SM-G925P; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 10; Mobile; SM-A015AZ; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 10; Mobile; ASUS_Z010D; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 14; Mobile; TECNO KB7j; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 12; Mobile; SM-G8850; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 12; Mobile; ASUS_A006; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 5; Mobile; SM-T377P; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 15; Mobile; Nokia G20; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 6; Mobile; SM-N920I; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 5; Mobile; HUAWEI G7-TL00; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 10; Mobile; ZTE BLADE V0720; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 5; Mobile; HUAWEI C8816D; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 6; Mobile; TECNO BA2; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 8; Mobile; ZTE 9030; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 14; Mobile; ASUS_X00BD; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 8; Mobile; SM-T360; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 10; Mobile; SM-J120F; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 12; Mobile; ZTE Q302C; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 13; Mobile; ASUS_AI2201_C; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 12; Mobile; SM-A025V; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 8; Mobile; ZTE G717C; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 7; Mobile; SM-G3502U; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 15; Mobile; TECNO KG5j; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 10; Mobile; vivo Y31i; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 15; Mobile; SM-F916W; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 10; Mobile; SM-G900MD; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 9; Mobile; SM-G360R6; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 4; Mobile; CPH2223; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 7; Mobile; SM-S908W; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 6; Mobile; GT-I9515; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 4; Mobile; HUAWEI CUN-U29; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 7; Mobile; SM-A205U; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 12; Mobile; SM-T235Y; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 4; Mobile; HUAWEI BLL-L22; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 13; Mobile; SM-G955F; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 9; Mobile; RMX3623; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 13; Mobile; SM-G9550; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 10; Mobile; SM-A716U; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 9; Mobile; M2007J1SC; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 4; Mobile; GT-I9508V; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 15; Mobile; ZTE V768; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 12; Mobile; SM-J320H; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 8; Mobile; SM-J260M; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 6; Mobile; SM-A526W; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 15; Mobile; ZTE V889M; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 12; Mobile; SM-P605L; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 15; Mobile; SM-X906B; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 5; Mobile; Huawei 858; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 10; Mobile; CPH2321; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 5; Mobile; RMX3461; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 4; Mobile; Nokia 2; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 13; Mobile; CPH2139; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 4; Mobile; Personal Huawei G620S; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 12; Mobile; ZTE Blade A33 Core; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 11; Mobile; ZTE V891; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 12; Mobile; SM-T380; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 15; Mobile; itel L5007A; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 14; Mobile; TECNO L9 Plus; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 15; Mobile; SM-G990U1; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 4; Mobile; RMX3201; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 14; Mobile; SM-G313ML; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 11; Mobile; TECNO SA2S; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 13; Mobile; TECNO RA8; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 6; Mobile; SM-N976B; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 12; Mobile; SM-G928F; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 7; Mobile; SM-A326BR; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 12; Mobile; ZTE Blade L315; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 14; Mobile; TECNO KD6; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 13; Mobile; SM-T230NU; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 12; Mobile; CPH1903; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 8; Mobile; SM-T677V; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 12; Mobile; vivo V3Max; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 15; Mobile; ASUS_X00PD; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 12; Mobile; SM-A315G; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 7; Mobile; SM-J7109; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 7; Mobile; SM-G9250; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 12; Mobile; TECNO LC6a; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 10; Mobile; SM-A125U; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 6; Mobile; SM-G955U; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 13; Mobile; SM-A305FN; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 14; Mobile; SM-G850Y; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 13; Mobile; ZTE BA611T; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 10; Mobile; SM-A500G; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 7; Mobile; SM-A346E; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 8; Mobile; ZTE BLADE L111; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 11; Mobile; CPH2161; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 4; Mobile; ZTE Grand S; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 7; Mobile; SM-J710MN; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 8; Mobile; SM-T230NZ; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 13; Mobile; SM-T111; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 15; Mobile; ZTE Blade A475; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 8; Mobile; Nokia G11 Plus; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 10; Mobile; HUAWEI U8666E; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 7; Mobile; ZTE Libra; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 5; Mobile; GT-P6210; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 8; Mobile; SM-G532G; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 13; Mobile; ZTE T82; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 6; Mobile; itel it1513; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 15; Mobile; TECNO ID3k; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 15; Mobile; SM-G730V; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 7; Mobile; GT-S5578; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 14; Mobile; ZTE B795; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 11; Mobile; itel L5502S; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 8; Mobile; ZTE Blade A7 2019RU; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 15; Mobile; vivo X7; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 12; Mobile; SM-G6000; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 15; Mobile; SM-G7105H; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 11; Mobile; CPH2423; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 10; Mobile; Nokia 2 V Tella; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 7; Mobile; itel A12; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 9; Mobile; ZTE A2021E; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 11; Mobile; Redmi Note 8T; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 6; Mobile; itel it1508; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 14; Mobile; CPH2417; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 8; Mobile; SM-R905U; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 4; Mobile; RMX1831; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 6; Mobile; SM-T817W; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 9; Mobile; GT-I9080E; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 13; Mobile; SM-G930V; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 8; Mobile; RMX3708; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 11; Mobile; SM-G9550; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 10; Mobile; ZTE-U N721; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 4; Mobile; Nokia X20; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 10; Mobile; SM-A500L; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 7; Mobile; TECNO CH6; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 6; Mobile; vivo 1938; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 9; Mobile; GT-I5510T; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 15; Mobile; SM-N9600; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 14; Mobile; SM-T837R4; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 12; Mobile; RMX2083; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 9; Mobile; SM-T567V; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 9; Mobile; SM-C9000; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 5; Mobile; SBM200SH; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 15; Mobile; HUAWEI Y560-U23; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 4; Mobile; ZTE Blade A7 2020; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 9; Mobile; SM-A520L; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 12; Mobile; SM-A505FM; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 13; Mobile; SM-F936W; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 4; Mobile; ZTE Q529T; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 10; Mobile; SM-G3559; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 12; Mobile; TECNO P702; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 15; Mobile; GT-1015; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 14; Mobile; TECNO BD2p; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 8; Mobile; GT-S6010L; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 7; Mobile; HUAWEI GRA-TL00; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 9; Mobile; itel W5004D; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 14; Mobile; SM-T677NK; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 12; Mobile; SM-G360BT; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 5; Mobile; HUAWEI LUA-L03; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 9; Mobile; ASUS_X00TD; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 12; Mobile; GT-N5110; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 15; Mobile; ZTE Grand Era; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 9; Mobile; SAMSUNG-SM-N930A; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 5; Mobile; Huawei Y301A1; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 11; Mobile; TECNO ID5b; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 6; Mobile; GT-I8190T; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 15; Mobile; ZTE-BLADE; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 5; Mobile; GT-S7273T; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 14; Mobile; HUAWEI IDEOS U8500; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 9; Mobile; ZTE BV0850; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 14; Mobile; TECNO F3; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 12; Mobile; HUAWEI Y540-U01; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 11; Mobile; itel S11 Plus; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 5; Mobile; SM-G357M; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 12; Mobile; SM-J330G; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 4; Mobile; SM-T239C; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 8; Mobile; GT-I9060C; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 6; Mobile; MEIZU M6; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 6; Mobile; SM-G988U1; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 9; Mobile; SM-T555; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 5; Mobile; itel S11Plus; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 13; Mobile; SM-M305M; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 15; Mobile; SM-G850S; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 14; Mobile; ASUS_X00PD; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 10; Mobile; SM-X806E; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 4; Mobile; SM-A136W; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 14; Mobile; SM-A300YZ; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 10; Mobile; HUAWEI G610-T01; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 11; Mobile; SM-T520CC; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 5; Mobile; SM-N7507; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 6; Mobile; SM-G800F; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 6; Mobile; SM-J106F; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 9; Mobile; SM-F926B; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 10; Mobile; Nokia 1 Plus; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 8; Mobile; SM-W2017; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 7; Mobile; itel A511LP; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 9; Mobile; SM-G9508; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 12; Mobile; GT-S7562C; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 11; Mobile; HUAWEI Y511-U251; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 14; Mobile; CPH2069; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 4; Mobile; ZTE U791; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 15; Mobile; SM-G3586V; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 9; Mobile; CPH2285; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 13; Mobile; ZTE-U V881; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 15; Mobile; SM-A300F; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 9; Mobile; TECNO RA8; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 5; Mobile; SM-E426B; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 15; Mobile; SM-P585Y; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 15; Mobile; itel A31Plus; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 12; Mobile; Redmi Note 8; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 4; Mobile; HUAWEI Y530-U00; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 9; Mobile; Nokia 4.2; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 7; Mobile; SM-G350M; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 8; Mobile; Redmi Note 8; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 4; Mobile; SAMSUNG-SM-J326AZ; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 5; Mobile; SM-N980F; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 15; Mobile; vivo PD1523A; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 7; Mobile; SM-R8950; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 15; Mobile; HUAWEI C8812; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 11; Mobile; ZTE BA603; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 14; Mobile; GT-S5570I; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 6; Mobile; SM-A135F; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 13; Mobile; GT-S5280; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 13; Mobile; GT-S7560; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 14; Mobile; SM-G710K; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 6; Mobile; vivo Y11; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 7; Mobile; SM-N930T; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 12; Mobile; SM-A700S; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 9; Mobile; itel W5004V; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 11; Mobile; HUAWEI Y221-U03; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 13; Mobile; HUAWEI G7; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 9; Mobile; GT-P5113; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 4; Mobile; SM-T597; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 11; Mobile; SM-G318MZ; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 10; Mobile; CPH1707; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 4; Mobile; HUAWEI Y520-U22; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 13; Mobile; HUAWEI G6-T00; rv:134.0) Gecko/134.0 Firefox/36.0
